workers,grid,#snowmen,seconds,performance(pixels/s),efficiency,speedup
1,128,3,12.262,1336.160496,1.000000,1.000000
2,181,3,23.059,1420.746780,0.531766,1.063532
4,256,3,16.28,4025.552826,0.753194,3.012776
8,362,3,14.646,8947.425918,0.837225,6.697800
12,443,3,14.159,13860.371495,0.866022,10.392264
16,512,3,13.939,18806.514097,0.879690,14.075040
24,627,3,14.268,27553.195963,0.859406,20.625744
32,724,3,13.825,37915.081374,0.886944,28.382208
48,887,3,14.642,53733.711242,0.837454,40.197792
64,1024,3,15.198,68994.341361,0.806817,51.636288
96,1254,3,15.875,99056.125984,0.772409,74.151264
