workers,grid,#snowmen,seconds,performance(pixels/s),speedup,ideal_speedup
1,1024,4,692.419,1514.366301,1.000000,1
2,1024,4,376.43,2785.580320,1.839436,2
4,1024,4,186.972,5608.198019,3.703330,4
8,1024,4,95.759,10950.156121,7.230850,8
12,1024,4,68.617,15281.577452,10.091071,12
16,1024,4,50.16,20904.625199,13.804207,16
24,1024,4,32.374,32389.448323,21.388120,24
32,1024,4,26.532,39521.181969,26.097505,32
48,1024,4,17.828,58816.244110,38.838849,48
64,1024,4,15.362,68257.778935,45.073493,64
96,1024,4,11.69,89698.545766,59.231737,96
